timestep,acc
1,0.2018
2,0.1993
3,0.1978
4,0.1963
5,0.1942
6,0.1919
7,0.191
8,0.1897
9,0.1875
10,0.1853
11,0.1829
12,0.1805
13,0.1776
14,0.1745
15,0.1722
16,0.17
17,0.1671
18,0.1642
19,0.1634
20,0.1607
21,0.1574
22,0.1541
23,0.151
24,0.1508
25,0.1486
26,0.1501
27,0.1488
28,0.1457
29,0.1429
30,0.1416
31,0.1384
32,0.1359
33,0.136
34,0.1369
35,0.1338
36,0.1303
37,0.127
38,0.1237
39,0.1224
40,0.1211
41,0.1179
42,0.1166
43,0.1154
44,0.1161
45,0.1168
46,0.1168
47,0.118
48,0.1193
49,0.1174
50,0.1175
51,0.1146
52,0.1119
53,0.1094
54,0.1117
55,0.1102
56,0.1114
57,0.1117
58,0.1133
59,0.1112
60,0.1086
61,0.1065
62,0.1062
63,0.1083
64,0.1086
65,0.1094
66,0.1097
67,0.1065
68,0.1054
69,0.1039
70,0.1038
71,0.1007
72,0.1026
73,0.1011
74,0.0988
75,0.099
76,0.1007
77,0.0983
78,0.0968
79,0.0936
80,0.0901
81,0.0876
82,0.0862
83,0.0888
84,0.0857
85,0.0832
86,0.0807
87,0.0782
88,0.0757
89,0.0733
90,0.071
91,0.0687
92,0.0664
93,0.0641
94,0.0646
95,0.0674
96,0.0692
97,0.0692
98,0.0704
99,0.068
100,0.0669
101,0.0696
102,0.07
103,0.0665
104,0.0639
105,0.0645
106,0.0682
107,0.0694
108,0.0681
109,0.0696
110,0.0668
111,0.066
112,0.0681
113,0.0661
114,0.0649
115,0.0684
116,0.0711
117,0.0683
118,0.0678
119,0.069
120,0.0695
121,0.0701
122,0.0722
123,0.0699
124,0.0719
125,0.0744
126,0.0742
127,0.0752
128,0.076
129,0.0781
130,0.0759
131,0.078
132,0.0804
133,0.0773
134,0.0739
135,0.0722
136,0.0702
137,0.0715
138,0.0684
139,0.0706
140,0.07
141,0.0723
142,0.0694
143,0.0664
144,0.0649
145,0.0637
146,0.0663
147,0.0635
148,0.0622
149,0.0603
150,0.0631
151,0.0658
152,0.0631
153,0.0605
154,0.0579
155,0.0605
156,0.0629
157,0.0643
158,0.0631
159,0.0642
160,0.0664
161,0.0679
162,0.0705
163,0.0693
164,0.0708
165,0.0735
166,0.0713
167,0.0737
168,0.0708
169,0.0679
170,0.0666
171,0.0653
172,0.068
173,0.0671
174,0.0695
175,0.0667
176,0.0643
177,0.0632
178,0.0657
179,0.0644
180,0.0659
181,0.0686
182,0.0701
183,0.0714
184,0.0725
185,0.075
186,0.0738
187,0.0739
188,0.0732
189,0.0756
