episode,timestep,reward
7,620,-3395.6947
15,1240,-3282.8618
22,1860,-3445.284
30,2480,-3095.1373
36,3100,-3132.3039
40,3720,-2586.8559
44,4340,-2964.5317
47,4960,-2634.6899
51,5580,-3638.8693
55,6200,-2817.378
60,6820,-3521.2993
64,7440,-3374.2727
68,8060,-3503.4254
71,8680,-3316.6712
74,9300,-3204.1712
77,9920,-3418.9976
80,10540,-1929.49
84,11160,-3285.07
88,11780,-3451.1384
91,12400,-3246.2365
94,13020,-3743.1136
97,13640,-2769.3996
99,14260,-3086.5213
102,14880,-2769.0337
105,15500,-2404.3115
107,16120,-1485.6748
109,16740,-2847.0653
112,17360,-2333.1583
114,17980,-2013.1581
117,18600,-2191.0581
119,19220,-3100.345
122,19840,-3703.719
124,20460,-1793.7937
127,21080,-1929.5513
129,21700,-1258.1503
131,22320,-1839.697
134,22940,-1995.0388
136,23560,-1348.2443
138,24180,-2505.4529
141,24800,-2955.8073
143,25420,-2516.2162
145,26040,-2515.2764
147,26660,-1489.8982
150,27280,-2309.5885
152,27900,-1371.1892
154,28520,-2230.6804
156,29140,-1368.7349
158,29760,-1166.3025
160,30380,-1136.2189
162,31000,-1684.3086
165,31620,-1830.0848
167,32240,-1408.6119
169,32860,-1633.8183
171,33480,-1514.2525
173,34100,-1889.0572
175,34720,-1687.5721
177,35340,-2598.3785
179,35960,-1097.4212
181,36580,-1933.2429
183,37200,-2928.1877
186,37820,-1886.8761
188,38440,-2328.6718
190,39060,-1512.6138
192,39680,-1174.1655
194,40300,-1025.9677
196,40920,-1282.3705
198,41540,-1680.5752
200,42160,-1036.5558
202,42780,-1093.02
204,43400,-2064.8496
206,44020,-1559.912
208,44640,-730.1691
210,45260,-1679.7055
213,45880,-2217.2566
215,46500,-2663.1777
217,47120,-1889.8619
220,47740,-1614.267
222,48360,-3296.0229
224,48980,-1378.2378
226,49600,-1095.0615
228,50220,-3694.9558
230,50840,-1210.1695
233,51460,-1255.4101
235,52080,-907.2657
237,52700,-2610.6828
239,53320,-1755.7568
242,53940,-2814.3743
244,54560,-1935.5675
246,55180,-1865.2699
248,55800,-1550.5276
251,56420,-2063.5984
253,57040,-1531.4633
257,57660,-2316.6465
259,58280,-1009.3258
261,58900,-1424.1236
263,59520,-1351.0591
265,60140,-1843.8002
267,60760,-962.1824
269,61380,-1554.6189
271,62000,-1278.0355
274,62620,-2868.1491
276,63240,-2661.7978
278,63860,-2789.5602
280,64480,-1718.5012
283,65100,-2099.2142
286,65720,-2394.3498
288,66340,-2117.4462
290,66960,-1254.4329
292,67580,-1508.332
295,68200,-3170.4913
297,68820,-2155.405
299,69440,-1478.8631
301,70060,-1307.5797
303,70680,-1809.6587
305,71300,-1686.1544
307,71920,-1233.8469
309,72540,-1922.5388
311,73160,-1241.0547
313,73780,-1700.7924
316,74400,-2642.8545
318,75020,-1803.1
320,75640,-2256.0513
322,76260,-1212.0523
325,76880,-1792.0933
327,77500,-1456.2179
329,78120,-1930.2498
331,78740,-1289.5089
333,79360,-1505.7968
335,79980,-1395.1609
337,80600,-1924.983
339,81220,-1793.6197
341,81840,-1824.5943
343,82460,-1963.9253
346,83080,-2388.6572
348,83700,-1692.9402
350,84320,-2084.423
352,84940,-2703.5617
354,85560,-1492.7118
356,86180,-1554.5817
358,86800,-1351.6495
360,87420,-1686.2465
363,88040,-2844.2751
365,88660,-1937.2448
368,89280,-1919.0775
370,89900,-1620.9058
372,90520,-1629.5422
374,91140,-2051.9325
376,91760,-1666.652
378,92380,-1788.6625
381,93000,-1664.8958
383,93620,-1600.7938
385,94240,-2229.2708
388,94860,-1883.9466
390,95480,-1251.7336
392,96100,-1685.7107
396,96720,-1882.9043
398,97340,-1651.1875
400,97960,-1813.6033
402,98580,-1565.339
404,99200,-4137.4418
406,99820,-1516.4812
409,100440,-1373.104
411,101060,-1603.0444
413,101680,-1602.6724
415,102300,-3090.5916
418,102920,-2204.8821
420,103540,-1460.4825
422,104160,-1489.946
425,104780,-2943.1983
427,105400,-2099.7401
430,106020,-2525.901
433,106640,-2356.7855
435,107260,-2990.9744
437,107880,-1098.5879
439,108500,-1806.9146
442,109120,-2266.3939
445,109740,-2697.7572
448,110360,-1815.6915
450,110980,-3153.582
