episode,timestep,reward,acc
2,960,55.94,0.1323
4,1920,98.8718,0.0918
6,2880,17.9546,0.1161
8,3840,-51.0162,0.1258
10,4800,-51.8909,0.0737
12,5760,88.5459,0.0615
14,6720,-55.4531,0.0478
16,7680,74.7712,0.023
18,8640,110.4086,0.101
20,9600,-54.5944,0.0778
22,10560,84.9442,0.0466
24,11520,40.6521,0.1068
26,12480,-40.7623,0.1549
28,13440,-51.5848,0.0771
30,14400,193.205,0.0413
32,15360,114.189,0.0618
34,16320,122.5576,0.0744
36,17280,116.5985,0.0866
38,18240,208.5268,0.0259
40,19200,84.9101,0.1016
42,20160,222.7491,0.0232
44,21120,246.0899,0.0355
46,22080,180.3942,0.0225
48,23040,205.5663,0.0693
50,24000,234.2287,0.043
52,24960,258.9728,0.038
54,25920,182.2879,0.0148
56,26880,259.4792,0.0147
58,27840,218.4656,0.0368
60,28800,189.1736,0.0549
62,29760,217.6847,0.0341
64,30720,218.8707,0.0513
66,31680,216.6548,0.0488
68,32640,273.0182,0.0196
70,33600,207.5672,0.0206
72,34560,246.6616,0.025
74,35520,233.8901,0.0426
76,36480,189.7547,0.0192
78,37440,247.5222,0.0226
80,38400,240.3189,0.0275
82,39360,257.52,0.0091
84,40320,257.7342,0.0164
86,41280,238.0688,0.0071
88,42240,223.5668,0.0031
90,43200,249.495,0.0122
92,44160,243.5317,0.0034
94,45120,253.2907,0.016
96,46080,257.0443,0.0131
98,47040,245.2417,0.0187
100,48000,247.4424,0.0183
102,48960,255.469,0.0295
104,49920,258.3668,0.0307
106,50880,260.785,0.0259
108,51840,243.0,0.0332
110,52800,247.0481,0.0122
112,53760,242.7261,0.0266
114,54720,250.1647,0.0165
116,55680,274.5508,0.0154
118,56640,244.3087,0.04
120,57600,244.0842,0.0208
122,58560,257.625,0.0241
124,59520,271.5778,0.0291
126,60480,256.7232,0.0127
128,61440,240.4101,0.027
130,62400,263.567,0.0228
132,63360,251.3544,0.0103
134,64320,272.1158,0.0033
136,65280,258.0858,0.0148
138,66240,256.5053,0.0081
140,67200,264.9213,0.0078
142,68160,259.8506,0.0015
144,69120,251.5946,0.017
146,70080,251.5031,0.0365
148,71040,250.3248,0.0148
150,72000,269.0264,0.012
152,72960,249.3662,0.0273
154,73920,254.9856,0.0231
156,74880,247.4129,0.0254
158,75840,241.199,0.0306
160,76800,235.2592,0.0334
162,77760,263.4626,0.011
164,78720,253.5238,0.0159
166,79680,269.9054,0.029
168,80640,247.498,0.0098
170,81600,246.2808,0.019
172,82560,263.0947,0.0179
174,83520,264.332,0.005
176,84480,269.4797,0.0058
178,85440,259.9797,0.0185
180,86400,264.7787,0.0088
182,87360,275.9129,0.0077
184,88320,263.4664,0.0079
186,89280,255.6335,0.0138
188,90240,246.4697,0.0272
190,91200,251.3873,0.0219
192,92160,251.1685,0.0211
194,93120,263.0215,0.0145
196,94080,265.4377,0.0253
198,95040,239.8684,0.009
200,96000,255.9232,0.0129
202,96960,251.2023,0.0403
204,97920,264.9796,0.0189
206,98880,277.723,0.0233
208,99840,263.4785,0.0046
210,100800,263.7887,0.0195
212,101760,256.3591,0.0095
214,102720,267.5031,0.0247
216,103680,260.8956,0.0015
218,104640,260.0113,0.0158
220,105600,267.7843,0.0177
222,106560,271.4143,0.0146
224,107520,262.3285,0.0141
226,108480,264.3407,0.0031
228,109440,279.8439,0.0033
230,110400,265.8376,0.0118
232,111360,269.354,0.0108
234,112320,264.305,0.0078
236,113280,270.4045,0.0032
238,114240,280.0808,0.0064
240,115200,257.4912,0.0126
242,116160,274.3386,0.0018
244,117120,268.7064,0.0038
246,118080,272.2964,0.0074
248,119040,269.3343,0.0079
250,120000,248.7725,0.0234
252,120960,255.7746,0.006
254,121920,246.7466,0.0225
256,122880,284.3401,0.0073
258,123840,255.9619,0.0067
260,124800,282.9299,0.0106
262,125760,273.6166,0.0099
264,126720,278.2083,0.0014
266,127680,282.2419,0.0071
268,128640,286.4673,0.0125
270,129600,257.1331,0.0209
272,130560,270.7521,0.0047
274,131520,265.324,0.0011
276,132480,274.4504,0.0032
278,133440,270.446,0.0083
280,134400,259.5057,0.0095
282,135360,258.9452,0.0133
284,136320,288.3959,0.0062
286,137280,257.6454,0.0111
288,138240,255.3023,0.004
290,139200,261.6838,0.0033
292,140160,270.2845,0.0009
294,141120,270.6339,0.0017
296,142080,279.7545,0.0089
298,143040,277.5183,0.0037
300,144000,287.9528,0.0027
302,144960,284.5069,0.0025
304,145920,258.1798,0.0054
306,146880,286.3011,0.0071
308,147840,290.5879,0.0122
310,148800,247.4521,0.0109
312,149760,274.9731,0.0076
314,150720,274.1938,0.0162
316,151680,274.6711,0.0016
318,152640,290.6695,0.0022
320,153600,270.5078,0.0202
322,154560,275.6587,0.0092
324,155520,280.4146,0.0034
326,156480,267.6281,0.0198
328,157440,272.6818,0.0125
330,158400,266.3651,0.0115
332,159360,284.0193,0.0049
334,160320,271.6474,0.0083
336,161280,271.8874,0.022
338,162240,268.0033,0.0017
340,163200,280.0154,0.0021
342,164160,272.1255,0.0134
344,165120,278.9247,0.0041
346,166080,276.16,0.0098
348,167040,271.9287,0.0134
350,168000,288.6368,0.0017
352,168960,281.1698,0.0098
354,169920,282.8822,0.0016
356,170880,278.2668,0.0062
358,171840,261.6432,0.0017
360,172800,286.3371,0.0124
362,173760,257.7703,0.006
364,174720,270.492,0.0051
366,175680,283.8199,0.0105
368,176640,279.6246,0.008
370,177600,287.3017,0.0013
372,178560,284.1712,0.0058
374,179520,282.3842,0.0144
376,180480,270.3124,0.0027
378,181440,292.763,0.0017
380,182400,290.8687,0.0056
382,183360,274.4942,0.0006
384,184320,277.8615,0.0021
386,185280,281.1447,0.0025
388,186240,265.9855,0.0011
390,187200,278.334,0.0027
392,188160,286.6606,0.0015
394,189120,284.9046,0.0007
396,190080,284.5711,0.0025
398,191040,283.1432,0.0075
400,192000,288.5925,0.0037
402,192960,291.9044,0.0033
404,193920,290.8993,0.0005
406,194880,281.2639,0.0059
408,195840,280.6213,0.0009
410,196800,291.1749,0.005
412,197760,283.7754,0.0042
414,198720,289.9104,0.0052
416,199680,285.2132,0.0077
418,200640,285.3347,0.0059
420,201600,284.1478,0.0045
422,202560,288.644,0.0025
424,203520,291.2819,0.0025
426,204480,279.3319,0.0084
428,205440,284.6846,0.0026
430,206400,274.8615,0.0012
432,207360,294.5593,0.0064
434,208320,288.5699,0.0085
436,209280,272.5634,0.0071
438,210240,282.1062,0.0019
440,211200,281.3347,0.0053
442,212160,282.2629,0.0026
444,213120,285.3542,0.0019
446,214080,282.447,0.0013
448,215040,285.3554,0.0013
450,216000,281.644,0.005
452,216960,286.8619,0.0027
454,217920,289.3763,0.0072
456,218880,284.5744,0.0019
458,219840,292.5593,0.0027
460,220800,283.4101,0.0059
462,221760,272.9952,0.0031
464,222720,283.4864,0.0014
