episode,timestep,reward,precision,actvar,reach_step,reach_ratio,grade
2,960,294.7069,0.01176369283348322,0.38704633712768555,397.75,0.375,0
4,1920,293.4874,0.0127009442076087,0.3807019591331482,359.5625,0.4375,0
6,2880,294.781,0.01540151983499527,0.3804813623428345,363.75,0.4375,0
8,3840,293.3555,0.015213431790471077,0.378424733877182,378.5,0.375,0
10,4800,296.3995,0.009184958413243294,0.35949644446372986,328.0,0.5625,0
12,5760,297.7986,0.011665881611406803,0.3701969385147095,318.5,0.5625,0
14,6720,296.3911,0.011364558711647987,0.3671414256095886,355.4375,0.4375,0
16,7680,295.0669,0.010582000948488712,0.37130892276763916,332.5,0.625,0
18,8640,297.2429,0.008913226425647736,0.3557888865470886,250.875,0.75,0
20,9600,296.6707,0.010977951809763908,0.3672327399253845,343.8125,0.5,0
22,10560,295.1694,0.014638373628258705,0.36749252676963806,395.25,0.4375,0
24,11520,297.6693,0.010205681435763836,0.3696863055229187,308.25,0.625,0
26,12480,295.9478,0.010075864382088184,0.3846166133880615,327.5625,0.625,0
28,13440,294.7925,0.014845576137304306,0.3811004161834717,396.125,0.3125,0
30,14400,294.2264,0.011386344209313393,0.3654939532279968,328.25,0.5,0
32,15360,294.506,0.012435746379196644,0.3724384009838104,390.375,0.375,0
34,16320,298.6936,0.00917197298258543,0.36962682008743286,310.75,0.5625,0
36,17280,298.8235,0.013096245005726814,0.37072572112083435,383.3125,0.375,0
38,18240,295.3237,0.012074874714016914,0.39053142070770264,357.875,0.625,0
40,19200,299.4407,0.011866366490721703,0.3743743300437927,398.5,0.5,0
42,20160,299.7848,0.009733686223626137,0.3781256675720215,284.4375,0.6875,0
44,21120,302.2592,0.009850824251770973,0.381427526473999,298.375,0.5625,0
46,22080,299.5242,0.013127604499459267,0.3957298696041107,418.4375,0.4375,0
48,23040,300.144,0.010561954230070114,0.38692235946655273,315.6875,0.75,0
50,24000,302.2552,0.0098272655159235,0.3794167637825012,344.5625,0.5,0
52,24960,301.7086,0.0074158827774226665,0.3808790445327759,217.5,0.875,0
54,25920,296.9739,0.01204868033528328,0.37154054641723633,347.9375,0.5625,0
56,26880,300.6463,0.009404459968209267,0.3805847764015198,288.625,0.75,0
58,27840,296.4682,0.01109639648348093,0.3901898264884949,379.3125,0.5625,0
60,28800,302.9051,0.01069791242480278,0.38636279106140137,354.125,0.625,0
62,29760,297.8666,0.012101561762392521,0.364146888256073,319.375,0.625,0
64,30720,302.5612,0.008061486296355724,0.37356728315353394,262.625,0.875,1
66,31680,291.2725,0.020073410123586655,0.3744841516017914,364.8125,0.5,1
68,32640,276.064,0.02066226676106453,0.37598276138305664,433.6875,0.25,1
70,33600,282.0215,0.020612113177776337,0.3807205855846405,419.6875,0.3125,1
72,34560,277.0902,0.02484533190727234,0.38041698932647705,371.875,0.375,1
74,35520,274.0973,0.025392528623342514,0.37947481870651245,462.6875,0.0625,1
76,36480,280.1976,0.01995510421693325,0.3771636486053467,436.1875,0.25,1
78,37440,277.461,0.02051999419927597,0.3866918683052063,417.8125,0.3125,1
80,38400,270.7838,0.026695482432842255,0.3850618004798889,406.4375,0.3125,1
82,39360,272.83,0.020144589245319366,0.37109971046447754,401.3125,0.375,1
84,40320,273.9774,0.02183109149336815,0.3732646405696869,424.625,0.375,1
86,41280,268.7572,0.029461948201060295,0.3788444399833679,411.875,0.3125,1
88,42240,278.6261,0.01896119862794876,0.3757762908935547,386.6875,0.5,1
90,43200,279.1733,0.027303719893097878,0.3752562403678894,394.125,0.3125,1
92,44160,276.4912,0.020836256444454193,0.37486809492111206,412.75,0.3125,1
94,45120,277.0754,0.02045031078159809,0.38089996576309204,442.1875,0.3125,1
96,46080,276.7643,0.026344604790210724,0.3790211081504822,364.0625,0.375,1
98,47040,278.9263,0.021523572504520416,0.3806150555610657,369.875,0.4375,1
100,48000,282.3583,0.014692435972392559,0.3842659592628479,345.25,0.5625,1
102,48960,277.4308,0.015505741350352764,0.3863902986049652,433.1875,0.3125,1
104,49920,274.5524,0.01534353382885456,0.3826107978820801,354.0,0.625,1
106,50880,277.0446,0.019219979643821716,0.3829686641693115,355.75,0.5,1
108,51840,279.7492,0.02212323620915413,0.3845444619655609,403.8125,0.3125,1
110,52800,282.2153,0.013710218481719494,0.3859676718711853,356.125,0.5625,1
112,53760,283.6414,0.01775326207280159,0.3786066174507141,357.3125,0.5,1
114,54720,275.7276,0.0230955071747303,0.38721582293510437,403.0,0.3125,1
116,55680,279.0468,0.0255832988768816,0.3849315047264099,357.25,0.4375,1
118,56640,275.287,0.02238188125193119,0.37561893463134766,362.4375,0.375,1
120,57600,278.9686,0.025899773463606834,0.37390968203544617,415.25,0.3125,1
122,58560,277.1896,0.019283071160316467,0.3755480647087097,359.625,0.4375,1
124,59520,286.0129,0.02157656103372574,0.379299521446228,409.4375,0.25,1
126,60480,281.1011,0.020312482491135597,0.37900495529174805,408.25,0.4375,1
128,61440,287.737,0.017074767500162125,0.3848089873790741,359.4375,0.5,1
130,62400,284.6729,0.017235733568668365,0.37223339080810547,374.0,0.5625,1
132,63360,286.7582,0.016161169856786728,0.3763693571090698,374.0625,0.375,1
134,64320,282.8749,0.019111279398202896,0.38301509618759155,383.9375,0.5625,1
136,65280,267.978,0.030741246417164803,0.38945040106773376,438.75,0.25,1
138,66240,278.4688,0.02498343586921692,0.3881002366542816,442.625,0.25,1
140,67200,282.1961,0.018575545400381088,0.3818139433860779,401.125,0.3125,1
142,68160,279.0979,0.019920479506254196,0.38478177785873413,412.4375,0.375,1
144,69120,275.5196,0.027337558567523956,0.3799247443675995,414.1875,0.1875,1
146,70080,278.7316,0.031173383817076683,0.3942295014858246,441.3125,0.1875,1
148,71040,280.7713,0.02570939064025879,0.388007253408432,413.0625,0.3125,1
150,72000,270.9104,0.023561552166938782,0.37831640243530273,426.8125,0.375,1
152,72960,286.2122,0.02180781587958336,0.3821858763694763,407.0,0.25,1
154,73920,278.3299,0.02294452115893364,0.39846834540367126,376.1875,0.5,1
156,74880,285.5065,0.015093917027115822,0.39063209295272827,435.875,0.1875,1
158,75840,284.9974,0.012848430313169956,0.39390236139297485,292.375,0.5625,1
160,76800,279.3477,0.017582353204488754,0.3895450830459595,393.0625,0.5,1
162,77760,286.9029,0.017907917499542236,0.37589287757873535,367.125,0.375,1
164,78720,279.2835,0.021110590547323227,0.3789011836051941,412.1875,0.3125,1
166,79680,285.6515,0.019024405628442764,0.38239261507987976,397.0625,0.3125,1
168,80640,282.0797,0.01736520044505596,0.38590341806411743,384.5625,0.375,1
170,81600,283.5908,0.021404746919870377,0.39000460505485535,405.125,0.375,1
172,82560,286.7415,0.01729581318795681,0.38945671916007996,342.3125,0.5,1
174,83520,285.0591,0.022193115204572678,0.3809969425201416,422.5625,0.3125,1
176,84480,288.4922,0.014372377656400204,0.3832697868347168,389.4375,0.375,1
178,85440,293.4366,0.020476115867495537,0.36802658438682556,417.0,0.375,1
180,86400,284.4445,0.016539867967367172,0.3699681758880615,341.5,0.5,1
182,87360,284.228,0.02265988290309906,0.3750321865081787,413.75,0.25,1
184,88320,278.9746,0.021145518869161606,0.38198375701904297,403.875,0.375,1
186,89280,280.8691,0.024952800944447517,0.3788944184780121,328.5,0.5,1
188,90240,284.0545,0.025366056710481644,0.38460084795951843,382.9375,0.3125,1
190,91200,290.5926,0.016302071511745453,0.38552746176719666,431.6875,0.375,1
192,92160,286.4719,0.02063111588358879,0.38737401366233826,399.3125,0.3125,1
194,93120,287.7522,0.023395050317049026,0.3702571392059326,427.6875,0.1875,1
196,94080,290.6449,0.017117898911237717,0.3771020174026489,382.3125,0.375,1
198,95040,287.1584,0.02051868662238121,0.3905434012413025,351.3125,0.5,1
200,96000,288.5753,0.01915508322417736,0.39621099829673767,398.1875,0.3125,1
202,96960,290.7917,0.013282416388392448,0.3849862217903137,317.5,0.625,1
204,97920,287.1556,0.02201107330620289,0.38562390208244324,410.5625,0.25,1
206,98880,291.7382,0.01606564223766327,0.39059528708457947,370.75,0.5,1
208,99840,275.6222,0.0311618410050869,0.3918035924434662,442.875,0.1875,1
210,100800,290.8039,0.013784022070467472,0.38574451208114624,310.0,0.625,1
212,101760,291.5322,0.019670395180583,0.3863491415977478,393.25,0.375,1
214,102720,283.28,0.021336622536182404,0.3955966830253601,370.9375,0.4375,1
216,103680,292.2038,0.015324078500270844,0.39683836698532104,360.5,0.5,1
218,104640,292.0376,0.012568913400173187,0.3833906650543213,370.625,0.5,1
220,105600,288.4629,0.017172731459140778,0.3887175917625427,413.875,0.3125,1
222,106560,294.2184,0.0157439224421978,0.3718346059322357,340.375,0.5625,1
224,107520,289.1006,0.016320280730724335,0.3773316740989685,415.8125,0.375,1
226,108480,292.7193,0.018856968730688095,0.38143062591552734,387.5625,0.375,1
228,109440,290.7315,0.020910833030939102,0.3819904327392578,395.625,0.4375,1
230,110400,291.5765,0.01272096112370491,0.4073356091976166,367.375,0.375,1
232,111360,280.6796,0.028232809156179428,0.39779016375541687,408.625,0.3125,1
234,112320,290.0679,0.016760053113102913,0.3841777443885803,310.125,0.5625,1
